,Town,State,Country
0,Abercrombie Caves,NSW,Australia
1,Aberdeen,NSW,Australia
2,Adaminaby,NSW,Australia
3,Adelaide Hills,SA,Australia
4,Adelaide River,NT,Australia
5,Adelong,NSW,Australia
6,Agnes Water,QLD,Australia
7,Aireys Inlet,VIC,Australia
8,Airlie Beach,QLD,Australia
9,Albany,WA,Australia
10,Albion Park,NSW,Australia
11,Albury,NSW,Australia
12,Aldgate,SA,Australia
13,Aldinga,SA,Australia
14,Alexandra,VIC,Australia
15,Alice Springs,NT,Australia
16,Allora,QLD,Australia
17,Alpha,QLD,Australia
18,Alstonville,NSW,Australia
19,Anakie,VIC,Australia
20,Andamooka,SA,Australia
21,Angaston,SA,Australia
22,Anglesea,VIC,Australia
23,Ansons Bay,TAS,Australia
24,Antwerp,VIC,Australia
25,Apollo Bay,VIC,Australia
26,Appin,NSW,Australia
27,Araluen,NSW,Australia
28,Aramac,QLD,Australia
29,Ararat,VIC,Australia
30,Ardlethan,NSW,Australia
31,Ardrossan,SA,Australia
32,Ariah Park,NSW,Australia
33,Arkaroola,SA,Australia
34,Arltunga,NT,Australia
35,Armadale,WA,Australia
36,Armidale,NSW,Australia
37,Arno Bay,SA,Australia
38,Arthur River,TAS,Australia
39,Ashford,NSW,Australia
40,Atherton,QLD,Australia
41,Auburn,SA,Australia
42,Augusta,WA,Australia
43,Austinmer,NSW,Australia
44,Australind,WA,Australia
45,Avenel,VIC,Australia
46,Avoca Beach,NSW,Australia
47,Avoca,TAS,Australia
48,Avoca,VIC,Australia
49,Ayr,QLD,Australia
50,Babinda,QLD,Australia
51,Bacchus Marsh,VIC,Australia
52,Badgingarra,WA,Australia
53,Bairnsdale,VIC,Australia
54,Balaklava,SA,Australia
55,Balingup,WA,Australia
56,Balladonia,WA,Australia
57,Ballarat,VIC,Australia
58,Ballina,NSW,Australia
59,Balmoral,VIC,Australia
60,Balranald,NSW,Australia
61,Bamaga,QLD,Australia
62,Bangalow,NSW,Australia
63,Barcaldine,QLD,Australia
64,Barellan,NSW,Australia
65,Bargara,QLD,Australia
66,Bargo,NSW,Australia
67,Barham,NSW,Australia
68,Barmah,VIC,Australia
69,Barmedman,NSW,Australia
70,Barmera,SA,Australia
71,Barooga,NSW,Australia
72,Barraba,NSW,Australia
73,Barrington Tops,NSW,Australia
74,Barringun,NSW,Australia
75,Barrow Creek,NT,Australia
76,Barwon Heads,VIC,Australia
77,Batchelor,NT,Australia
78,Batemans Bay,NSW,Australia
79,Bathurst,NSW,Australia
80,Batlow,NSW,Australia
81,Baxter,VIC,Australia
82,Beachport,SA,Australia
83,Beaconsfield,TAS,Australia
84,Beagle Bay,WA,Australia
85,Beaudesert,QLD,Australia
86,Beaufort,VIC,Australia
87,Bedarra Island,QLD,Australia
88,Beech Forest,VIC,Australia
89,Beechworth,VIC,Australia
90,Beenleigh,QLD,Australia
91,Bega,NSW,Australia
92,Belgrave,VIC,Australia
93,Bell,NSW,Australia
94,Bellingen,NSW,Australia
95,Bells Beach,VIC,Australia
96,Belmont,NSW,Australia
97,Beltana,SA,Australia
98,Bemboka,NSW,Australia
99,Benalla,VIC,Australia
100,Bencubbin,WA,Australia
101,Bendemeer,NSW,Australia
102,Bendigo,VIC,Australia
